partner_code,car_number,maker,model_name,sub_model,trim_name,options,ext_color,int_color,year,mileage,fuel_type,policy_code,vehicle_status,product_type,vehicle_class,vehicle_price,first_registration_date,partner_memo,photo_link,rent_1,deposit_1,rent_12,deposit_12,rent_24,deposit_24,rent_36,deposit_36,rent_48,deposit_48,rent_60,deposit_60
RP005,142호3653,기아,카니발,카니발 KA4 20~,2.2D 프레스티지 9인승,"컨버니언스, 12.3인치 클러스터, 드라이브와이즈",화이트,베이지,,12000,디젤,,출고가능,중고렌트,,,24년12월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,https://drive.google.com/drive/folders/1Bbqma58vbeK-dc5P5VdAjQTPlf4xLpf3?usp=drive_link,,,,,1100000,1500000,1050000,1500000,1000000,1500000,950000,1500000
RP005,101호7926,현대,투싼,투싼 NX4 20~,1.6 N라인 인스퍼레이션 2WD,"플래티넘III, 파노라마 선루프",화이트,블랙,,85000,가솔린,,출고가능,중고렌트,,,22년2월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,https://drive.google.com/drive/folders/1RIpPAnjXEbapMLh2bbSyShMeH5YHiCWW?usp=drive_link,,,,,750000,1000000,700000,1000000,,1000000,,1000000
RP005,125호9079,쉐보레,트랙스,트랙스 9BQC 23~,1.2 E-터보 엑티브 플러스,테크놀로지 패키지,화이트,블랙,,19000,가솔린,,출고가능,중고렌트,,,24년3월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,https://drive.google.com/drive/folders/11RoOjkiW_19F6ouQv3QxQEpAcKWzt8S_?usp=drive_link,,,750000,,720000,1000000,690000,1000000,660000,1000000,630000,1000000
RP005,142호3587,현대,팰리세이드,팰리세이드 LX2 18~,3.8 AWD 캘리그래피 7인승,"듀얼 와이드 선루프, 빌트인캠, [HGA] 라이프 스타일",그레이,블랙,,32000,가솔린,,출고가능,중고렌트,,,24년 7월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,https://drive.google.com/drive/folders/1GJvTt_bSeGWrDrBkIdRFchBEjCWkd8zS?usp=drive_link,,,1300000,,1250000,2000000,1200000,2000000,1150000,2000000,1100000,2000000
RP005,101호7613,제네시스,G80,G80 RG3 20~,가솔린 3.5 터보 AWD 기본 형,"드라이빙 어시스턴스 패키지2, 빌트인캠+보조배터리",그레이,블랙,,79000,가솔린,,출고가능,중고렌트,,,20년11월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,https://drive.google.com/drive/folders/14ObKo5zJl0P57oAWBsQhjU0M5aVHFHqn,,,,,1200000,1500000,1100000,1500000,1000000,1500000,,1500000
RP005,142호8441,제네시스,G80,G80 RG3 20~,2.5T AWD,"SDS2, 20인치 ,파노라마선루프,뱅앤올룹슨 사운드패키지, 파퓰러패키지I,2열 컴포트 패키지",화이트,베이지,,15000,가솔린,,출고가능,중고렌트,,,25년8월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,,,,,,1650000,3000000,1600000,3000000,1550000,3000000,1500000,3000000
RP005,101호7623,제네시스,G80,G80 RG3 20~,3.5T 2WD,"19인치 A ,드라이빙 어시스턴스패키지I, 빌트인캠 + 보조배터리",그레이,블랙,,85000,가솔린,,출고가능,중고렌트,,,20년11월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,,,,,,1100000,1500000,1000000,1500000,,1500000,,1500000
RP005,125하4722,제네시스,GV80,GV80 JX1 20~,2026 2.5T WAD 5인승,"뱅앤올룹스 사운드패키지, SDS2, 22인치 다이아몬드 컷팅 휠 , 파퓰러패키지, 파노라마 선루프",화이트,그린,,40,가솔린,,출고가능,신차렌트,,86950000,26년1월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,https://drive.google.com/drive/folders/1QQz3fJwHx4FKsZ_deVo78Fbq6OmIVAgs?usp=drive_link,,,2100000,,2000000,5000000,1950000,5000000,1900000,5000000,1850000,5000000
RP005,142호3579,제네시스,GV80,GV80 JX1 20~,2.5T AWD,"뱅앤올룹슨 사운드 패캐지, 드라이빙 어시스턴스 패키지II, 헤드업 디스플레이, 드라이빙 어이스턴스 패키지I, SDS2, 20인치 휠&타이어",블랙,브라운,,33000,가솔린,,출고가능,중고렌트,,,24년 7월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,https://drive.google.com/drive/folders/1VbTPFfjeeK1L65YFomuecARddHTgWTm3?usp=drive_link,,,,,1750000,3000000,1700000,3000000,1650000,3000000,1600000,3000000
RP005,142호3591,제네시스,GV80,GV80 JX1 20~,3.5T AWD 7인승,"파퓰러패키지,컨비니언스패키지, 후석 스마트 엔터테인먼트 시스템, 파노라마 선루프",블랙,블랙,,53000,가솔린,,출고가능,중고렌트,,,24년8월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,https://drive.google.com/drive/folders/1ejk6LjzUbcDssHT-JFZoNy1V3RY11rt2?usp=drive_link,,,,,2450000,3000000,2400000,3000000,2350000,3000000,2300000,3000000
